Opportunity Name,Account Name,Website,Github,Was Project Completed?,Can we consider it a sucess ? ,Is it still a public good?,Does the Project need additional funding?,Have they raised funding?,What is the team doing now?,When was the last Github update?,Closed Lost Reason,Stage,Fiscal Period,Amount,Close Date,Created Date,Type,Referral Source,Proactive Community Grants Round,Category,Cost Center,Opportunity ID,Country,Countries of Team,Contract Number,Next Deliverable Date,Last Stage Change Date,Stage Duration
Starksheet,Starksheet,https://starksheet.notion.site/Starksheet-bfb55bc581e446598d7bf5860e219b03,https://github.com/the-candy-shop/starksheet-monorepo/,,,,,,,,,Completed,Q1-2023,30000,1/26/2023,1/26/2023,Grant,Other team/project in ecosystem,Layer 2 Community Grants 2022,UX/UI,Privacy and Scaling Explorations,0065J00000Ck1lV,FR,,896,,8/10/2023,245
MyFirstLayer2,LXDAO,forum.lxdao.io/t/my-first-layer2/240/16?u=bruce_lxdao,https://github.com/lxdao-official/myfirstlayer2-frontend,,,,,,,,,Completed,Q1-2023,15000,1/26/2023,1/26/2023,Grant,Ethereum Community Events,Layer 2 Community Grants 2022,Community and education,Privacy and Scaling Explorations,0065J00000Ck1la,CN,"China, New Zealand, Japan, U.K., U.S.",890,,7/7/2023,279
Typescript ERC-4337 Bundler,EntryPoint,hackmd.io/@kristofgazso/rJco0WrIi,https://github.com/pimlicolabs/alto,,,,,,,,,Completed,Q1-2023,30000,1/26/2023,1/26/2023,Grant,Social Media,Layer 2 Community Grants 2022,UX/UI,Privacy and Scaling Explorations,0065J00000Ck1lf,GB,,897,,9/26/2023,198
ERC-4337 Public Infrastructure,Candide,github.com/candidelabs,github.com/candidelabs,Yes,,,,,,,,Completed,Q1-2023,70000,1/26/2023,1/26/2023,Grant,Other team/project in ecosystem,Layer 2 Community Grants 2022,Cybersecurity,Privacy and Scaling Explorations,0065J00000Ck1lk,FR,"Kuweit, Egypt",884,,8/17/2023,238
Rollup Security Framework,"Quantstamp, Inc.",drive.google.com/file/d/1bK0bkY47tj8pY192DHME3FvfHmhsmEjS/view?usp=sharing,https://github.com/quantstamp/l2-security-framework,,,,,,,,,Completed,Q1-2023,30000,1/26/2023,1/26/2023,Grant,Social Media,Layer 2 Community Grants 2022,Cybersecurity,Privacy and Scaling Explorations,0065J00000Ck1ll,CA,Canada,894,,8/24/2023,231
Back-End API Standard for L2 Block Explorers,"Quantstamp, Inc.",drive.google.com/file/d/1bK0bkY47tj8pY192DHME3FvfHmhsmEjS/view?usp=sharing,https://github.com/quantstamp/l2-block-explorer-api,,,,,,,,,Completed,Q1-2023,30000,1/26/2023,1/26/2023,Grant,Other,Layer 2 Community Grants 2022,Data Visualization,Privacy and Scaling Explorations,0065J00000Ck1lu,CA,"Canada, USA, Germany, Japan, Singapore, Dubai",878,,10/25/2023,169
L2 en Español,L2 en Espanol,docs.google.com/document/d/1KLz8tXzAJOQBQoZ0AZdvVTKS2TS5H9BFoiKBAgAsxn0/edit,N/A,,,,,,,,,Completed,Q1-2023,30000,1/26/2023,1/26/2023,Grant,Social Media,Layer 2 Community Grants 2022,Community and education,Privacy and Scaling Explorations,0065J00000Ck1lz,AR,"Argentina, Perú, Venezuela",887,,7/7/2023,279
Layer 2 Activity Tracking & Comparison Suite,growthepie / orbal GmbH,https://growthepie.xyz,https://github.com/growthepie,N/A (ongoing) ,,,,,,,,Completed,Q1-2023,79200,1/26/2023,1/26/2023,Grant,Other team/project in ecosystem,Layer 2 Community Grants 2022,Data Analysis,Privacy and Scaling Explorations,0065J00000Ck1m4,DE,"Berlin, Germany & New York City, USA & San Francisco, USA",889,,11/29/2023,134
Layer1.5,Test In Prod,layer15.org,https://github.com/testinprod-io,,,,,,,,"""After speaking with Mitsu, we have decided to cancel the final payment. 
Regards,
Rodrigo Vasquez""

USD 20,000.00 Written Off",Cancelled,Q1-2023,40000,1/26/2023,1/26/2023,Grant,Other,Layer 2 Community Grants 2022,UX/UI,Privacy and Scaling Explorations,0065J00000Ck1m5,KR,Seoul and London,888,12/1/2023,2/2/2024,69
Performance and Security Evaluation of Layer 2 Blockchain Systems,EPFL,https://www.epfl.ch/,N/A,No,,N/A,No,No,N/A,N/A,,Active,Q1-2023,71500,1/26/2023,1/26/2023,Grant,Other,Layer 2 Community Grants 2022,Data Analysis,Privacy and Scaling Explorations,0065J00000Ck1m9,CH,,892,6/19/2024,5/19/2023,328
